ID,Mã,Tên,Giá Hiện Tại (USD)_x,Vốn Hóa Thị Trường,Tổng Khối Lượng Giao Dịch,Biến Động 24h (%),Giá Hiện Tại (USD)_y
bitcoin,btc,Bitcoin,96417.0,1909779434476,36275828268,0.7796,96217.58
dogecoin,doge,Dogecoin,0.253407,37462857397,1244469536,1.84645,0.25312
ethereum,eth,Ethereum,2706.77,325766910741,19738082588,0.94497,2706.2
